_id,objectid,unicode,name,facility_type,type_code,center,center_code,feature_name,website,capacity,access_to_fire_extinguisher,access_to_kitchenette,access_to_parking_lot,access_to_playground,access_to_restrooms,access_to_spray_park,access_to_vending_machines,ada_accessible_facility,ada_accessible_playground_near,ada_accessible_port_a_john_near,ada_accessible_restroom,bocci_court,furniture_chairs,furniture_tables,indoor_air_conditioning,indoor_audio_system,indoor_heating,indoor_television,outdoor_basketball_courts_nea,outdoor_fishing,outdoor_grill,outdoor_horseshoe_pits_near,outdoor_lake_view,outdoor_lighting,outdoor_swimming_pool_near,outdoor_volleyball,outdoor_water_spigot,outlet_data,outlet_power,outlet_telephone,pet_friendly,port_a_john_near,smoking_not_permitted,smoking_permitted,x,y
25999,1691,,Stables,Wedding Site,140,Hartwood Acres Park,HA,Stables,https://www.alleghenycounty.us/parks/hartwood/wedding-and-party-rentals.aspx,300,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-79.544527181263,40.34040068966
26000,1692,,Environmental Learning Center,Building,10,Harrison Hills Park,HH,Environmental Learning Center,https://www.alleghenycounty.us/parks/harrison-hills/environmental-learning-center.aspx,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-79.421076858749,40.392577702933
26001,1693,,Soccer Field 2,Field - Soccer,64,Harrison Hills Park,HH,Soccer Field 2,https://www.alleghenycounty.us/parks/harrison-hills/soccer.aspx,300,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-79.414192797509,40.384747862679
26002,1694,,Baneberry,Shelter,130,Harrison Hills Park,HH,Baneberry,https://www.alleghenycounty.us/parks/harrison-hills/baneberry.aspx,60,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,-79.42086636585,40.390862419228
26003,1695,,Broken Branch,Shelter,130,Harrison Hills Park,HH,Broken Branch,https://www.alleghenycounty.us/parks/harrison-hills/broken-branch.aspx,100,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,-79.41521352754,40.38578884497
26004,1696,,Laurel,Shelter,130,Harrison Hills Park,HH,Laurel,https://www.alleghenycounty.us/parks/harrison-hills/laurel.aspx,100,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,-79.415721367869,40.385813856916
26005,1697,,Overlook,Shelter,130,Harrison Hills Park,HH,Overlook,https://www.alleghenycounty.us/parks/harrison-hills/overlook.aspx,125,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,-79.413717678325,40.390337189936
26006,1698,,Ox Roast,Shelter,130,Harrison Hills Park,HH,Ox Roast,https://www.alleghenycounty.us/parks/harrison-hills/ox-roast.aspx,125,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,-79.414146136852,40.390115870046
26007,1699,,Rachel Carson,Shelter,130,Harrison Hills Park,HH,Rachel Carson,https://www.alleghenycounty.us/parks/harrison-hills/rachel-carson.aspx,100,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,-79.415638109279,40.385588710472
26008,1700,,Wake Robin,Shelter,130,Harrison Hills Park,HH,Wake Robin,https://www.alleghenycounty.us/parks/harrison-hills/wake-robin.aspx,50,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,-79.420077046889,40.390364863916
26009,1701,,Walnut,Shelter,130,Harrison Hills Park,HH,Walnut,https://www.alleghenycounty.us/parks/harrison-hills/walnut.aspx,50,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,-79.420778219252,40.390296514034
26010,1702,,Yakaon,Shelter,130,Harrison Hills Park,HH,Yakaon,https://www.alleghenycounty.us/parks/harrison-hills/yakaon.aspx,120,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,-79.420761994896,40.392601164016
26011,1703,,Cabin,Private Rental,10,North Park,NP,Cabin,https://www.alleghenycounty.us/parks/north-park/cabin.aspx,75,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,-79.595609131746,40.353626903174
26012,1704,,Lodge,Building,10,North Park,NP,Lodge,https://www.alleghenycounty.us/parks/north-park/lodge.aspx,500,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,-80.01010644906,40.370172264584
26013,1705,,Old Fire House,Building,10,North Park,NP,Old Fire House,https://www.alleghenycounty.us/parks/north-park/old-fire-house.aspx,60,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,-80.004189444872,40.354367321987
26014,1706,,Parish Hill,Building,10,North Park,NP,Parish Hill,https://www.alleghenycounty.us/parks/north-park/parish-hill.aspx,150,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,-80.00545876282,40.360720989108
26015,1707,,Ranch House,Building,10,North Park,NP,Ranch House,https://www.alleghenycounty.us/parks/north-park/ranch-house.aspx,75,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,-80.012626397917,40.361495943474
26016,1708,,Rose Barn,Building,10,North Park,NP,Rose Barn,https://www.alleghenycounty.us/parks/north-park/rose-barn.aspx,150,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,-80.001633941176,40.361706866153
26017,1709,,Scout Cabin,Building,10,North Park,NP,Scout Cabin,https://www.alleghenycounty.us/parks/north-park/scout-cabin.aspx,22,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,-80.005930668742,40.354732733491
26018,1710,,Basketball Courts,Court - Basketball,31,North Park,NP,Basketball Courts,https://www.alleghenycounty.us/parks/activities/basketball.aspx,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-80.012892861173,40.370174432233
26019,1711,,Dek Hockey Rink,Dek Hockey Rink,40,North Park,NP,Dek Hockey Rink,https://www.alleghenycounty.us/parks/activities/dek-hockey-inline-skating.aspx,50,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-79.594219079123,40.351201477472
26020,1712,,Devils Elbow Baseball Field,Field - Baseball,61,North Park,NP,Devils Elbow Baseball Field,https://www.alleghenycounty.us/parks/activities/ball-games.aspx,30,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-79.594886388058,40.35064464471
26021,1713,,Donora Baseball Field,Field - Baseball,61,North Park,NP,Donora Baseball Field,https://www.alleghenycounty.us/parks/activities/ball-games.aspx,40,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,-79.590284830872,40.352210062007
26022,1714,,Lone Pine Baseball Field,Field - Baseball,61,North Park,NP,Lone Pine Baseball Field,https://www.alleghenycounty.us/parks/activities/ball-games.aspx,40,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,-79.59006328219,40.351889791756
26023,1715,,Mill Baseball Field,Field - Baseball,61,North Park,NP,Mill Baseball Field,https://www.alleghenycounty.us/parks/activities/ball-games.aspx,40,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-80.010539804334,40.363931152925
26024,1716,,Pie Traynor Baseball Field,Field - Baseball,61,North Park,NP,Pie Traynor Baseball Field,https://www.alleghenycounty.us/parks/activities/ball-games.aspx,40,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-79.5928086652,40.351356370027
26025,1717,,Woods Baseball Field 1,Field - Baseball,61,North Park,NP,Woods Baseball Field 1,https://www.alleghenycounty.us/parks/activities/ball-games.aspx,40,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,-79.591576080465,40.351107768943
26026,1718,,Woods Baseball Field 2,Field - Baseball,61,North Park,NP,Woods Baseball Field 2,https://www.alleghenycounty.us/parks/activities/ball-games.aspx,40,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,-79.591414071527,40.351367638761
26027,1719,,J.C. Stone Field,Field - Football,62,North Park,NP,J.C. Stone Field,https://www.alleghenycounty.us/parks/activities/ball-games.aspx,500,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,-80.003928780201,40.354943996632
