_id,objectid,trail_id,trail_name,park_name_short,park_name,park_name_full,blaze_color_full,blaze_color_short,base_color,cap_color,dot_color,dash_color,image_link,mileage,track,track_num,difficulty,configuration,surface,service_road,globalid,trail_status,shape_length
35614,20233,WO45418,Green,WO,White Oak,White Oak Park,Green,GN,Green,,,,https://apps.alleghenycounty.us/GIS/GREENbase.png,2.99944221,,,Moderate,Complete Loop,Dirt,No,{24F17AF4-AFC7-4F32-9BC4-971C93DE2C0F},Active,0.0494393825000344
35615,20234,WO42932,,WO,White Oak,White Oak Park,<Null>,,,,,,,0.2450587,,,Easy,<Null>,Dirt,No,{7E20F308-4A64-490E-A6A0-616FB8BE2AEE},Active,0.00408160581024153
35616,20235,WO45421,Blue Loop Access,WO,White Oak,White Oak Park,Blue,BL,Blue,,,,https://apps.alleghenycounty.us/GIS/BLUEbase.png,0.0184116,,,Easy-Moderate,Access Trail,Grass,,{BEBCE93F-3CDD-4B6B-9F67-951035CD0BBC},Active,0.000283545667098923
35617,20422,SP2230, ,SP,South Park,South Park,,,,,,,,0.1080029,,,,<Null>,,,{A1E0D85F-5AC9-4778-80CF-36D2F0756CDD},Active,0.00175071227447039
35618,20423,SP2231, ,SP,South Park,South Park,,,,,,,,0.20660074,,,,<Null>,,,{D8C3F0FE-07DF-4CC1-B0B5-A82641546275},Active,0.00337708261004302
35619,20424,SP2233, ,SP,South Park,South Park,,,,,,,,0.12418167,,,,<Null>,,,{3886DA2E-CF61-46FC-9C1F-A85E14E0AAFF},Active,0.00192362057632589
35620,20425,SP77, ,SP,South Park,South Park,,,,,,,,0.06711591,,,Easy-Moderate,<Null>,,,{A9D4E25D-6D2C-4D77-9A87-445A1162EEC2},Closed,0.00111023308135059
35621,20426,SP25597, ,SP,South Park,South Park,,,,,,,,0.08307361,,,Easy-Moderate,<Null>,Dirt,,{F87C6161-34E8-47FD-81E6-23927E7359DD},Active,0.00136450457622914
35622,20427,SP2239, ,SP,South Park,South Park,,,,,,,,0.07188846,,,,<Null>,,,{DB892553-4C1C-42FB-A896-6BD7D5DD36E0},Active,0.00130456987918304
35623,20428,SP2240, ,SP,South Park,South Park,,,,,,,,0.37244928,,,,<Null>,,,{30E2A18A-43B3-43A9-90AD-D2E9BE465598},Active,0.0062282796147614
35624,20429,SP2243, ,SP,South Park,South Park,,,,,,,,0.11558503,,,,<Null>,,,{144A2492-AEEB-402D-903D-C6E984C55D77},Active,0.00210727740384286
35625,20430,SP2249, ,SP,South Park,South Park,,,,,,,,0.06072559,,,,<Null>,,,{05F4AD58-6C0D-4038-8858-9FC0BFF1F0A0},Active,0.00113397735500857
35626,20431,SP2250,Verify/Remove if trail has disappeared,SP,South Park,South Park,,,,,,,,0.08172789,,,,<Null>,,,{BD6F7B8D-5A82-4C66-908C-39265A9E57C3},Closed,0.00123332079676467
35627,20432,SP2251,Verify/Remove if trail has disappeared,SP,South Park,South Park,,,,,,,,0.08302166,,,,<Null>,,,{11CB6998-4D8D-4CB6-AAE6-8309A56248CE},Closed,0.0014167773480851
35628,20433,SP2254, ,SP,South Park,South Park,,,,,,,,0.14486966,,,,<Null>,,,{F933B8A7-0543-4472-87D4-11C23B3CB501},Active,0.0025101298393834
35629,20434,SP2255, ,SP,South Park,South Park,,,,,,,,0.19486312,,,,<Null>,,,{07690965-83FB-410B-9898-0008539D7790},Active,0.00311571032808925
35630,20435,SP2256, ,SP,South Park,South Park,,,,,,,,0.08116192,,,,<Null>,,,{3CCAB002-A36B-4A51-805C-769755799D12},Active,0.00125628425965343
35631,20436,SP2257, ,SP,South Park,South Park,,,,,,,,0.14138674,,,,<Null>,,No,{2E336150-69BE-46D7-B10E-36B053AC6950},Active,0.00237155727645358
35632,20437,SP2259, ,SP,South Park,South Park,,,,,,,,0.02857547,,,,<Null>,,,{A1A4AF57-7C97-4627-BAC6-70D08F0B989C},Active,0.000424256894717828
35633,20438,SP2260,Verify/Remove if trail has disappeared,SP,South Park,South Park,,,,,,,,0.05741488,,,,<Null>,,,{16F66775-6807-44FB-B138-E5B0C7805EB6},Closed,0.000977846991530156
35634,20439,SP25615, ,SP,South Park,South Park,,,,,,,,0.27769258,,,Moderate-Difficult,<Null>,Dirt,No,{2D6ACA53-8535-4C1A-AF80-61B3F0587C11},Closed,0.00456951809487304
35635,20440,SP2266, ,SP,South Park,South Park,,,,,,,,0.0353572,,,,<Null>,,,{FBEC8397-DA17-4876-B2B8-FABD18579C92},Active,0.000576052187150226
35636,20441,SP2267, ,SP,South Park,South Park,,,,,,,,0.0118581,,,,<Null>,,,{C5B31ECD-9242-4908-9F17-0E7A3604533F},Active,0.000223586519508077
35637,20442,SP2271, ,SP,South Park,South Park,,,,,,,,0.02774435,,,,<Null>,,,{5039C7ED-FB68-42B9-887D-DC2B81433BA9},Active,0.000459284196015171
35638,20443,SP2272,Verify/Remove if trail has disappeared,SP,South Park,South Park,,,,,,,,0.08519303,,,,<Null>,,,{D528F5E8-B7CF-42E8-B7A8-598FE3B00759},Closed,0.00145746259950585
35639,20444,SP2273,Verify/Remove if trail has disappeared,SP,South Park,South Park,,,,,,,,0.02583009,,,,<Null>,,,{42A5DF48-3024-4621-97AB-71FF7F4EA64E},Closed,0.000469016325610681
35640,20445,SP25627, ,SP,South Park,South Park,,,,,,,,0.1489554,,,,<Null>,,,{F628D5D6-6FE1-41DD-BC72-CB02DB044C02},Active,0.00269352898524416
35641,20446,SP2276, ,SP,South Park,South Park,,,,,,,,0.17882044,,,,<Null>,,,{FA756FE3-9F30-4986-8EA3-A0E8EAE46A64},Active,0.00317073590902297
35642,20447,SP25630,MTC Montour Trail Connector,SP,South Park,South Park,Gray,GY,Gray,,,,https://apps.alleghenycounty.us/GIS/GRAYbase.png,2.2159157,,,Easy,Point to Point,,,{5FA40A37-16E2-476C-8909-01413DAAF0B7},Active,0.0358087734120482
35643,20448,SP2281, ,SP,South Park,South Park,,,,,,,,0.0433338,,,,<Null>,,,{B366CAE5-64D7-42DA-BCA9-68D62CDD4F4D},Active,0.000794129015848695
35644,20449,SP2283, ,SP,South Park,South Park,,,,,,,,0.03834283,,,,<Null>,,,{2485902F-CE90-4731-8E07-D2C46A4781B6},Active,0.000704625109081827
